Nr of publication,Cation 1,,Cation 2,,Cation 3,,Cation 4,,Anion 1,,Anion 2,,Pro- motor,Support 1,,Support 2,,,Preparation,"Temperature, K","p(CH4), bar","p(O2), bar",p(CH4)/p(O2),"P total, bar","Contact time, s","X(O2), %","X(CH4), %","S(COx), %","S(C2=), %","S(C2-), %","S(C2), %","Y(C2),%",Basicity,Acidity,Electro-negativity,Anion conductivity,p/n conductivity
,value,mol%,value,mol%,value,mol%,value,mol%,value,mol%,value,mol%,,value,mol%,value,mol%,,,,,,,,,,,,,,,,,,,,
,Li,10.0,La,90.0,,,,,,,,,,,,,,,Impregnation,1073,0.30,0.05,6.0,1.0,0.10,100.0,21.6,,32.6,37.6,73.8,15.9,,,,,
,Na,10.0,La,90.0,,,,,,,,,,,,,,,Impregnation,1073,0.30,0.05,6.0,1.0,0.10,100.0,20.0,,31.4,33.2,74.8,15.0,,,,,
,K,10.0,La,90.0,,,,,,,,,,,,,,,Impregnation,1073,0.30,0.05,6.0,1.0,0.10,100.0,20.6,,30.1,30.3,75.8,15.6,,,,,
,Mg,10.0,La,90.0,,,,,,,,,,,,,,,Impregnation,1023,0.30,0.05,6.0,1.0,0.10,100.0,20.7,,28.0,32.1,76.8,15.9,,,,,
,Ca,10.0,La,90.0,,,,,,,,,,,,,,,Impregnation,1023,0.30,0.05,6.0,1.0,0.10,100.0,19.4,,28.6,31.1,77.8,15.1,,,,,
,Sr,10.0,La,90.0,,,,,,,,,,,,,,,Impregnation,1023,0.30,0.05,6.0,1.0,0.10,100.0,20.9,,28.7,34.9,78.8,16.5,,,,,
,Ba,10.0,La,90.0,,,,,,,,,,,,,,,Impregnation,1073,0.30,0.05,6.0,1.0,0.10,100.0,20.3,,30.5,33.6,79.8,16.2,,,,,
,Pb,10.0,La,90.0,,,,,,,,,,,,,,,Impregnation,1023,0.30,0.05,6.0,1.0,0.10,100.0,18.5,,24.9,33.2,80.8,14.9,,,,,
,Bi,10.0,La,90.0,,,,,,,,,,,,,,,Impregnation,1023,0.30,0.05,6.0,1.0,0.10,100.0,18.4,,27.0,34.6,81.8,15.1,,,,,
,Ar,10.0,La,90.0,,,,,,,,,,,,,,,Impregnation,1073,0.30,0.05,6.0,1.0,0.10,100.0,20.0,,27.8,31.9,82.8,16.6,,,,,
,Li,10.0,Mg,90.0,,,,,,,,,,,,,,,Impregnation,1123,0.30,0.05,6.0,1.0,0.10,100.0,21.1,,38.0,29.1,83.8,17.7,,,,,
,Na,10.0,Mg,90.0,,,,,,,,,,,,,,,Impregnation,1073,0.30,0.05,6.0,1.0,0.10,100.0,19.4,,27.5,31.6,84.8,16.5,,,,,
,K,10.0,Mg,90.0,,,,,,,,,,,,,,,Impregnation,1173,0.30,0.05,6.0,1.0,0.10,100.0,19.3,,37.5,18.6,85.8,16.6,,,,,
,Y,10.0,Mg,90.0,,,,,,,,,,,,,,,Impregnation,1173,0.30,0.05,6.0,1.0,0.10,100.0,16.5,,35.6,20.2,86.8,14.3,,,,,
,La,10.0,Mg,90.0,,,,,,,,,,,,,,,Impregnation,1123,0.30,0.05,6.0,1.0,0.10,100.0,18.0,,28.8,23.1,87.8,15.8,,,,,
,Ba,10.0,Mg,90.0,,,,,,,,,,,,,,,Impregnation,1123,0.30,0.05,6.0,1.0,0.10,100.0,17.4,,27.6,28.5,88.8,15.5,,,,,
